plan_name,price_raw,account_size,account_type,activation_fee,drawdown_type,daily_loss_limit,reset_fee,profit_goal,business_name,discount_code,trustpilot_score,source_url,trailing_drawdown
$150k account,$90,"$150,000",Evaluation,$125,Intraday,None,$79,"$9,000",Tradeify,OCT,4.7,https://tradeify.co/,"$4,500"
25K FULL,$167/Month,"$25,000",WealthCharts,$55,Trailing Threshold,None,$80,"$1,500",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$1,500"
50K FULL,$187/Month,"$50,000",WealthCharts,$55,Trailing Threshold,None,$80,"$3,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$2,500"
100K FULL,$297/Month,"$100,000",WealthCharts,$55,Trailing Threshold,None,$80,"$6,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$3,000"
150K FULL,$397/Month,"$150,000",WealthCharts,$55,Trailing Threshold,None,$80,"$9,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$5,000"
250K FULL,$497/Month,"$250,000",WealthCharts,$55,Trailing Threshold,None,$80,"$15,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$6,500"
300K FULL,$597/Month,"$300,000",WealthCharts,$55,Trailing Threshold,None,$80,"$20,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$7,500"
100K STATIC,$157/Month,"$100,000",WealthCharts,$55,Max Drawdown,None,$80,"$2,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,$625
25K FULL,$167/Month,"$25,000",Rithmic,$55,Trailing Threshold,None,$80,"$1,500",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$1,500"
50K FULL,$187/Month,"$50,000",Rithmic,$55,Trailing Threshold,None,$80,"$3,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$2,500"
100K FULL,$297/Month,"$100,000",Rithmic,$55,Trailing Threshold,None,$80,"$6,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$3,000"
150K FULL,$397/Month,"$150,000",Rithmic,$55,Trailing Threshold,None,$80,"$9,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$5,000"
250K FULL,$497/Month,"$250,000",Rithmic,$55,Trailing Threshold,None,$80,"$15,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$6,500"
300K FULL,$597/Month,"$300,000",Rithmic,$55,Trailing Threshold,None,$80,"$20,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$7,500"
100K STATIC,$157/Month,"$100,000",Rithmic,$55,Max Drawdown,None,$80,"$2,000",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,$625
25K FULL,$167/Month,"$25,000",Tradovate,$55,Trailing Threshold,None,$100,"$1,500",Apex Trader Funding,80% Off Evals,,https://apextraderfunding.com/,"$1,500"
